"","number","date","time","ticker","price"
"1",2799567508,2018-02-20,"10:00:01","SBER",266.86
"2",2799567565,2018-02-20,"10:00:01","SBER",266.87
"3",2799567618,2018-02-20,"10:00:02","SBER",266.87
"4",2799567697,2018-02-20,"10:00:02","SBER",266.98
"5",2799567830,2018-02-20,"10:00:03","SBER",266.98
"6",2799567836,2018-02-20,"10:00:03","SBER",266.88
"7",2799567837,2018-02-20,"10:00:03","SBER",266.88
"8",2799567838,2018-02-20,"10:00:03","SBER",266.87
"9",2799567776,2018-02-20,"10:00:03","SBER",266.98
"10",2799567834,2018-02-20,"10:00:03","SBER",266.94
"11",2799567852,2018-02-20,"10:00:03","SBER",266.91
"12",2799567779,2018-02-20,"10:00:03","SBER",266.98
"13",2799567829,2018-02-20,"10:00:03","SBER",266.98
"14",2799567857,2018-02-20,"10:00:03","SBER",266.87
"15",2799567835,2018-02-20,"10:00:03","SBER",266.9
"16",2799567882,2018-02-20,"10:00:04","SBER",266.91
"17",2799568103,2018-02-20,"10:00:06","SBER",266.85
"18",2799568100,2018-02-20,"10:00:06","SBER",266.85
"19",2799568101,2018-02-20,"10:00:06","SBER",266.85
"20",2799568102,2018-02-20,"10:00:06","SBER",266.85
"21",2799568104,2018-02-20,"10:00:06","SBER",266.83
"22",2799568105,2018-02-20,"10:00:06","SBER",266.8
"23",2799568126,2018-02-20,"10:00:06","SBER",266.78
"24",2799568127,2018-02-20,"10:00:06","SBER",266.77
"25",2799568128,2018-02-20,"10:00:06","SBER",266.77
"26",2799568129,2018-02-20,"10:00:06","SBER",266.77
"27",2799568130,2018-02-20,"10:00:06","SBER",266.75
"28",2799568131,2018-02-20,"10:00:06","SBER",266.73
"29",2799568215,2018-02-20,"10:00:08","SBER",266.79
"30",2799568316,2018-02-20,"10:00:10","SBER",266.8
"31",2799568293,2018-02-20,"10:00:10","SBER",266.79
"32",2799568421,2018-02-20,"10:00:11","SBER",266.8
"33",2799568361,2018-02-20,"10:00:11","SBER",266.8
"34",2799568576,2018-02-20,"10:00:13","SBER",266.69
"35",2799568577,2018-02-20,"10:00:13","SBER",266.68
"36",2799568578,2018-02-20,"10:00:13","SBER",266.67
"37",2799568579,2018-02-20,"10:00:13","SBER",266.65
"38",2799568580,2018-02-20,"10:00:13","SBER",266.63
"39",2799568581,2018-02-20,"10:00:13","SBER",266.61
"40",2799568583,2018-02-20,"10:00:13","SBER",266.58
"41",2799568584,2018-02-20,"10:00:13","SBER",266.57
"42",2799568585,2018-02-20,"10:00:13","SBER",266.57
