"","number","date","time","ticker","price"
"1",163343814,2018-02-20,"10:00:02","USD000UTSTOM",56.45
"2",163343829,2018-02-20,"10:00:05","USD000UTSTOM",56.4675
"3",163343833,2018-02-20,"10:00:06","USD000UTSTOM",56.4625
"4",163343836,2018-02-20,"10:00:09","USD000UTSTOM",56.45
"5",163343837,2018-02-20,"10:00:09","USD000UTSTOM",56.45
"6",163343843,2018-02-20,"10:00:11","USD000UTSTOM",56.46
"7",163343845,2018-02-20,"10:00:11","USD000UTSTOM",56.4725
"8",163343848,2018-02-20,"10:00:12","USD000UTSTOM",56.455
"9",163343849,2018-02-20,"10:00:12","USD000UTSTOM",56.46
"10",163343852,2018-02-20,"10:00:15","USD000UTSTOM",56.455
"11",163343853,2018-02-20,"10:00:15","USD000UTSTOM",56.455
"12",163343854,2018-02-20,"10:00:15","USD000UTSTOM",56.4525
"13",163343855,2018-02-20,"10:00:15","USD000UTSTOM",56.45
"14",163343856,2018-02-20,"10:00:15","USD000UTSTOM",56.45
"15",163343857,2018-02-20,"10:00:15","USD000UTSTOM",56.46
"16",163343859,2018-02-20,"10:00:15","USD000UTSTOM",56.47
"17",163343860,2018-02-20,"10:00:15","USD000UTSTOM",56.47
"18",163343861,2018-02-20,"10:00:16","USD000UTSTOM",56.455
"19",163343862,2018-02-20,"10:00:17","USD000UTSTOM",56.46
"20",163343865,2018-02-20,"10:00:19","USD000UTSTOM",56.47
"21",163343869,2018-02-20,"10:00:21","USD000UTSTOM",56.47
"22",163343871,2018-02-20,"10:00:23","USD000UTSTOM",56.47
"23",163343872,2018-02-20,"10:00:23","USD000UTSTOM",56.47
"24",163343874,2018-02-20,"10:00:25","USD000UTSTOM",56.465
"25",163343875,2018-02-20,"10:00:25","USD000UTSTOM",56.46
"26",163343877,2018-02-20,"10:00:25","USD000UTSTOM",56.46
"27",163343879,2018-02-20,"10:00:26","USD000UTSTOM",56.46
"28",163343880,2018-02-20,"10:00:26","USD000UTSTOM",56.4625
"29",163343881,2018-02-20,"10:00:26","USD000UTSTOM",56.47
"30",163343882,2018-02-20,"10:00:26","USD000UTSTOM",56.47
"31",163343883,2018-02-20,"10:00:26","USD000UTSTOM",56.47
"32",163343884,2018-02-20,"10:00:26","USD000UTSTOM",56.475
"33",163343885,2018-02-20,"10:00:26","USD000UTSTOM",56.475
"34",163343893,2018-02-20,"10:00:26","USD000UTSTOM",56.4775
"35",163343898,2018-02-20,"10:00:33","USD000UTSTOM",56.4725
"36",163343899,2018-02-20,"10:00:34","USD000UTSTOM",56.4775
"37",163343900,2018-02-20,"10:00:34","USD000UTSTOM",56.4775
"38",163343904,2018-02-20,"10:00:35","USD000UTSTOM",56.4625
"39",163343905,2018-02-20,"10:00:35","USD000UTSTOM",56.4625
"40",163343906,2018-02-20,"10:00:35","USD000UTSTOM",56.4775
"41",163343910,2018-02-20,"10:00:38","USD000UTSTOM",56.465
"42",163343911,2018-02-20,"10:00:39","USD000UTSTOM",56.46
"43",163343912,2018-02-20,"10:00:39","USD000UTSTOM",56.4575
"44",163343932,2018-02-20,"10:00:45","USD000UTSTOM",56.47
"45",163343933,2018-02-20,"10:00:45","USD000UTSTOM",56.4725
"46",163343934,2018-02-20,"10:00:46","USD000UTSTOM",56.47
"47",163343950,2018-02-20,"10:00:47","USD000UTSTOM",56.4675
"48",163343951,2018-02-20,"10:00:47","USD000UTSTOM",56.4675
"49",163343952,2018-02-20,"10:00:47","USD000UTSTOM",56.4675
"50",163343953,2018-02-20,"10:00:48","USD000UTSTOM",56.4675
"51",163343954,2018-02-20,"10:00:48","USD000UTSTOM",56.4675
"52",163343955,2018-02-20,"10:00:48","USD000UTSTOM",56.465
"53",163343957,2018-02-20,"10:00:48","USD000UTSTOM",56.46
"54",163343958,2018-02-20,"10:00:49","USD000UTSTOM",56.465
"55",163343974,2018-02-20,"10:00:52","USD000UTSTOM",56.465
"56",163343975,2018-02-20,"10:00:52","USD000UTSTOM",56.4675
"57",163343980,2018-02-20,"10:00:52","USD000UTSTOM",56.4725
"58",163343981,2018-02-20,"10:00:52","USD000UTSTOM",56.4725
"59",163343984,2018-02-20,"10:00:56","USD000UTSTOM",56.4725
"60",163343985,2018-02-20,"10:00:56","USD000UTSTOM",56.475
"61",163343990,2018-02-20,"10:00:58","USD000UTSTOM",56.47
"62",163343991,2018-02-20,"10:00:58","USD000UTSTOM",56.47
"63",163344005,2018-02-20,"10:01:01","USD000UTSTOM",56.465
"64",163344016,2018-02-20,"10:01:02","USD000UTSTOM",56.47
"65",163344020,2018-02-20,"10:01:03","USD000UTSTOM",56.46
