date;total_debt;net_debt;vol_rgbi;delta_rgbi;vol_oil;vol_usdrub
09.15;9070;2398;0,025;0,021;0,156;0,070
10.15;4306;1764;0,049;0,045;0,165;0,052
11.15;3163;2903;0,025;0,011;0,180;0,075
12.15;6358;3293;0,015;0,005;0,255;0,115
01.16;2026;1546;0,050;-0,014;0,439;0,184
02.16;2436;2172;0,033;0,021;0,237;0,083
03.16;2612;2309;0,024;0,020;0,183;0,121
04.16;2509;2291;0,013;0,006;0,315;0,108
05.16;3607;3194;0,011;0,001;0,174;0,046
06.16;6207;2977;0,021;0,017;0,132;0,068
07.16;3899;2921;0,012;-0,002;0,195;0,073
08.16;1890;1830;0,012;0,011;0,234;0,058
09.16;8289;2484;0,015;0,005;0,115;0,053
10.16;1687;1684;0,019;-0,013;0,109;0,027
11.16;3194;2638;0,017;-0,008;0,202;0,057
12.16;2749;1938;0,026;0,023;0,115;0,078
01.17;1287;977;0,014;0,007;0,089;0,040
02.17;1896;1628;0,012;-0,007;0,055;0,069
03.17;11608;7253;0,019;0,015;0,148;0,068
04.17;2066;1999;0,016;0,011;0,123;0,034
05.17;1416;1067;0,011;-0,002;0,172;0,051
06.17;4465;2623;0,012;-0,001;0,160;0,077
07.17;1539;831;0,009;-0,002;0,147;0,038
08.17;1207;1016;0,008;0,007;0,073;0,049
09.17;5197;2080;0,011;0,008;0,145;0,032
10.17;1610;1609;0,010;0,004;0,111;0,031
11.17;2492;1780;0,008;0,002;0,078;0,051
